aX,aY,aZ,gX,gY,gZ
0.270,0.276,-2.063,155.334,-16.724,-12.756
0.181,0.325,-1.918,116.882,-40.710,-24.719
0.050,0.335,-1.839,93.994,-49.988,-28.809
0.027,0.341,-1.818,75.439,-42.908,-23.743
0.022,0.342,-1.661,55.237,-34.241,-18.677
0.007,0.410,-1.425,34.058,-30.396,-16.479
0.002,0.431,-1.213,23.254,-36.255,-16.785
-0.084,0.425,-0.992,17.639,-44.678,-15.686
-0.116,0.412,-0.790,13.000,-45.349,-12.329
-0.091,0.437,-0.605,11.414,-35.095,-9.949
-0.093,0.477,-0.506,18.127,-26.611,-10.620
-0.093,0.460,-0.489,30.579,-23.132,-11.658
-0.151,0.447,-0.499,41.992,-22.522,-10.559
-0.161,0.443,-0.517,50.781,-22.095,-8.728
-0.182,0.443,-0.575,59.143,-16.235,-6.470
-0.158,0.399,-0.668,66.101,-5.615,-3.235
-0.123,0.392,-0.745,68.665,4.272,-2.502
-0.102,0.379,-0.813,67.688,4.761,-5.615
-0.132,0.382,-0.898,67.810,-2.075,-6.958
-0.193,0.278,-0.960,68.176,-9.399,-5.371
-0.123,0.299,-1.061,63.477,-7.446,2.808
-0.081,0.286,-1.203,59.631,-3.906,3.662
-0.046,0.244,-1.347,56.396,-0.488,2.502
0.020,0.210,-1.474,46.692,1.404,0.854
-0.012,0.188,-1.503,27.588,-3.601,0.427
-0.019,0.182,-1.454,15.625,-8.301,-2.075
-0.011,0.211,-1.372,3.479,-10.681,-3.662
-0.022,0.224,-1.253,-6.653,-10.559,-4.517
-0.031,0.246,-1.138,-11.902,-8.240,-5.737
-0.037,0.262,-0.991,-15.991,-8.667,-5.920
-0.058,0.298,-0.878,-17.334,-13.184,-5.981
-0.055,0.307,-0.835,-13.916,-15.686,-5.859
-0.048,0.325,-0.809,-9.583,-10.925,-6.958
-0.068,0.327,-0.800,-4.395,-5.432,-8.789
-0.100,0.312,-0.821,0.427,-3.784,-9.338
-0.103,0.311,-0.863,3.479,-4.333,-7.507
-0.102,0.312,-0.901,4.700,-4.333,-5.737
-0.104,0.306,-0.948,4.639,-3.052,-4.700
-0.084,0.302,-0.990,2.991,-0.916,-3.113
-0.067,0.318,-1.004,-0.610,0.793,-3.784
-0.060,0.317,-1.022,-2.380,2.258,-5.249
-0.051,0.311,-1.024,-3.845,3.296,-6.226
-0.072,0.317,-0.989,-6.104,1.892,-7.080
-0.097,0.313,-0.952,-6.042,-2.991,-6.287
-0.102,0.316,-0.942,-4.822,-6.897,-4.395
-0.098,0.318,-0.936,-3.418,-6.836,-2.991
-0.083,0.311,-0.922,-2.014,-5.188,-2.380
-0.072,0.322,-0.920,-1.892,-4.944,-2.686
-0.075,0.327,-0.931,-2.747,-5.249,-3.113
-0.052,0.330,-0.943,-3.906,-3.357,-3.113
-0.065,0.336,-0.940,-6.165,-1.953,-4.211
-0.079,0.326,-0.915,-7.324,-2.747,-4.700
-0.082,0.334,-0.865,-7.874,-5.920,-3.235
-0.097,0.346,-0.818,-7.507,-10.498,-1.526
-0.090,0.341,-0.793,-4.333,-11.353,0.244
