aX,aY,aZ,gX,gY,gZ
-0.099,0.450,-0.908,42.664,-4.883,4.150
-0.073,0.407,-0.972,41.138,-7.202,11.414
-0.006,0.355,-1.018,40.649,-2.441,15.869
0.048,0.326,-1.061,39.734,4.822,15.198
0.105,0.296,-1.106,38.147,8.667,13.489
0.155,0.285,-1.155,35.034,8.606,12.512
0.197,0.286,-1.201,30.090,7.019,10.864
0.224,0.293,-1.195,22.766,4.333,7.812
0.204,0.320,-1.126,13.611,-0.732,2.991
0.181,0.342,-1.042,6.348,-7.629,-0.305
0.161,0.360,-0.947,1.587,-11.353,-1.465
0.125,0.379,-0.864,-0.671,-11.353,-2.258
0.115,0.381,-0.855,1.404,-7.751,-1.343
0.129,0.370,-0.887,5.615,-2.258,0.671
0.139,0.381,-0.944,8.606,0.793,1.160
0.146,0.354,-1.006,10.681,-0.488,0.549
0.156,0.355,-1.014,8.545,-3.296,-0.671
0.128,0.367,-0.964,3.540,-6.836,-4.150
0.074,0.363,-0.917,1.831,-10.315,-7.080
0.044,0.356,-0.924,1.953,-10.803,-7.324
0.027,0.360,-0.974,2.502,-7.263,-5.981
0.049,0.351,-1.017,2.869,-1.892,-4.517
0.071,0.347,-1.035,1.526,1.343,-3.662
0.086,0.349,-1.025,-1.343,-0.061,-3.296
0.103,0.358,-0.995,-4.456,-2.991,-3.723
0.107,0.368,-0.934,-7.385,-4.639,-4.883
0.093,0.380,-0.855,-9.338,-6.592,-6.836
0.065,0.389,-0.809,-8.545,-9.888,-7.690
0.049,0.396,-0.790,-5.249,-12.146,-6.775
0.043,0.398,-0.803,-0.732,-11.108,-5.188
0.054,0.377,-0.853,4.150,-6.470,-3.174
0.080,0.366,-0.923,7.263,-0.671,-0.977
0.119,0.369,-0.964,7.446,2.563,-0.488
0.134,0.367,-0.983,5.859,1.221,-2.380
0.125,0.368,-0.966,2.991,-2.808,-5.127
0.099,0.354,-0.926,-0.305,-6.592,-7.324
0.088,0.368,-0.852,-3.113,-8.911,-8.240
0.053,0.374,-0.796,-3.540,-9.949,-9.277
0.015,0.371,-0.788,-0.183,-8.606,-9.094
0.010,0.364,-0.814,4.395,-4.883,-6.409
0.023,0.355,-0.873,8.911,-1.465,-3.601
0.038,0.341,-0.930,11.292,0.854,-2.075
0.063,0.340,-0.969,11.414,1.709,-1.404
0.088,0.339,-0.982,9.888,0.549,-2.197
0.090,0.327,-0.996,6.836,-1.709,-3.845
0.078,0.348,-0.971,1.953,-3.357,-5.066
0.071,0.358,-0.937,-0.732,-3.906,-6.165
0.052,0.369,-0.896,-1.648,-3.418,-6.897
0.035,0.381,-0.860,-1.343,-3.052,-6.592
0.022,0.379,-0.848,1.465,-3.723,-5.676
0.021,0.386,-0.847,4.761,-4.761,-4.089
0.035,0.385,-0.865,8.484,-4.883,-2.380
0.042,0.369,-0.906,11.902,-4.456,-1.465
0.062,0.354,-0.949,13.000,-3.479,-0.366
0.091,0.352,-0.980,11.719,-2.075,0.305
0.097,0.345,-0.997,9.460,-1.648,-0.488
0.112,0.348,-0.996,6.165,-2.014,-1.709
0.119,0.356,-0.970,3.296,-2.808,-3.540
0.099,0.364,-0.925,1.465,-4.883,-5.859
0.075,0.365,-0.907,1.404,-7.751,-6.653
0.057,0.364,-0.909,2.808,-9.338,-6.287
0.049,0.362,-0.921,4.150,-7.568,-5.676
0.048,0.360,-0.933,4.883,-4.089,-4.700
0.064,0.361,-0.945,5.249,-1.709,-3.418
0.083,0.356,-0.949,5.249,-1.770,-3.113
0.086,0.350,-0.959,4.639,-3.723,-3.845
0.083,0.352,-0.949,3.357,-5.432,-4.883
0.072,0.352,-0.932,2.502,-6.165,-5.920
0.056,0.346,-0.937,2.197,-6.165,-6.409
0.058,0.349,-0.951,1.831,-5.249,-5.859
0.064,0.356,-0.953,1.221,-4.028,-5.371
0.064,0.350,-0.963,1.648,-3.113,-5.249
0.074,0.351,-0.961,1.343,-3.235,-4.639
0.078,0.356,-0.934,0.122,-4.761,-4.639
0.069,0.358,-0.898,-0.793,-7.385,-5.249
0.062,0.357,-0.878,-0.183,-8.789,-5.554
0.066,0.350,-0.880,1.038,-7.629,-4.883
0.069,0.356,-0.889,1.892,-5.310,-4.578
0.065,0.357,-0.899,2.869,-3.601,-4.517
0.060,0.346,-0.921,4.272,-3.540,-4.028
0.068,0.347,-0.938,3.723,-3.601,-3.235
0.073,0.351,-0.939,2.747,-3.235,-3.113
0.076,0.346,-0.941,2.319,-3.174,-3.601
0.078,0.347,-0.934,1.831,-3.601,-3.723
0.074,0.341,-0.940,2.136,-5.005,-3.967
0.070,0.342,-0.948,1.770,-5.798,-3.784

0.708,0.045,-2.047,160.583,46.509,67.261
0.563,0.164,-1.847,103.943,17.578,32.654
0.346,0.144,-1.600,64.209,-31.555,3.784
0.203,0.115,-1.432,48.340,-63.232,-7.019
0.151,0.136,-1.393,44.434,-61.279,-5.737
0.165,0.171,-1.397,43.762,-29.663,-1.404
0.209,0.229,-1.350,39.612,-0.488,1.709
0.214,0.263,-1.267,30.640,3.784,0.427
0.109,0.290,-1.137,18.799,-12.939,-4.456
0.035,0.290,-0.996,9.277,-28.931,-8.911
0.001,0.271,-0.957,8.911,-28.381,-8.728
0.007,0.254,-0.990,13.000,-13.550,-7.202
0.052,0.211,-1.083,19.165,2.441,-4.089
0.122,0.181,-1.202,20.935,10.620,-0.061
0.189,0.172,-1.271,16.174,9.399,2.014
0.228,0.182,-1.272,7.446,2.930,1.221
0.238,0.201,-1.158,-5.066,-4.578,-2.869
0.207,0.218,-1.031,-14.587,-10.315,-8.972
0.170,0.244,-0.942,-18.127,-11.536,-12.939
0.128,0.255,-0.887,-16.052,-9.888,-13.855
0.120,0.265,-0.905,-10.254,-6.348,-11.292
0.147,0.285,-0.931,-5.981,-2.625,-7.812
0.159,0.288,-0.949,-3.540,-2.686,-7.324
0.148,0.278,-0.956,-3.296,-6.531,-8.057
0.134,0.273,-0.951,-4.822,-10.620,-8.179
0.121,0.258,-0.943,-5.554,-11.353,-7.996
0.113,0.259,-0.943,-5.310,-7.629,-7.874
0.123,0.248,-0.981,-3.845,-2.747,-7.080
0.136,0.255,-1.015,-3.723,-0.061,-5.432
0.156,0.262,-1.006,-6.287,-0.671,-4.517
0.176,0.276,-0.982,-7.996,-2.991,-5.127
0.159,0.284,-0.906,-10.254,-6.714,-7.080
0.122,0.287,-0.864,-10.681,-11.536,-8.911
0.101,0.294,-0.847,-8.728,-12.939,-8.484
0.085,0.291,-0.831,-5.737,-9.766,-7.629
0.093,0.285,-0.849,-0.366,-5.249,-6.226
0.108,0.266,-0.909,5.249,-3.052,-4.211
0.137,0.267,-0.968,7.568,-2.808,-2.319
0.156,0.274,-0.976,6.042,-3.357,-2.441
0.146,0.274,-0.951,3.296,-5.615,-4.578
0.134,0.274,-0.916,1.038,-8.301,-5.981
0.126,0.272,-0.912,0.916,-10.010,-5.920
0.133,0.274,-0.923,1.038,-8.545,-5.310
0.137,0.270,-0.932,1.038,-4.456,-4.944
0.147,0.270,-0.953,2.014,-0.427,-4.517
0.161,0.272,-0.974,2.747,0.671,-4.333
0.158,0.280,-0.961,1.648,-2.319,-4.639
0.140,0.291,-0.929,0.122,-7.324,-5.615
0.117,0.289,-0.907,0.671,-10.864,-6.653
0.097,0.289,-0.892,1.099,-11.292,-6.775
0.090,0.286,-0.897,1.953,-8.728,-6.104
0.097,0.292,-0.897,2.319,-5.005,-5.066
0.097,0.293,-0.899,3.357,-3.723,-4.333
0.087,0.272,-0.922,5.371,-4.456,-3.723
0.101,0.256,-0.970,6.226,-3.357,-1.831
0.131,0.261,-0.997,5.310,0.061,-0.732
0.137,0.268,-1.009,3.723,1.892,-1.465
0.128,0.273,-1.006,1.038,0.488,-2.441
0.128,0.280,-0.992,-1.648,-1.831,-2.991
0.132,0.293,-0.959,-3.845,-3.296,-4.028
0.128,0.297,-0.938,-3.601,-3.967,-5.249
0.108,0.301,-0.912,-2.258,-4.272,-6.042
0.113,0.300,-0.916,0.122,-5.066,-4.883
0.126,0.297,-0.925,2.380,-5.859,-3.235
0.144,0.295,-0.926,3.601,-5.676,-2.930
0.139,0.282,-0.940,4.761,-5.737,-3.784
0.125,0.276,-0.970,5.066,-6.042,-4.028
0.129,0.277,-0.981,3.235,-5.554,-3.418
0.138,0.281,-0.980,1.709,-4.700,-3.357
0.138,0.284,-0.980,0.916,-5.249,-4.395
0.134,0.280,-0.973,0.183,-6.409,-5.188
0.130,0.279,-0.964,-0.549,-7.507,-5.188
0.141,0.282,-0.944,-1.038,-7.324,-5.493
0.124,0.295,-0.912,-1.099,-7.629,-6.531
0.109,0.290,-0.912,0.732,-9.583,-6.592
0.115,0.291,-0.925,2.563,-10.742,-5.310
0.114,0.290,-0.934,3.357,-10.071,-4.822
0.115,0.289,-0.934,3.418,-8.728,-5.005
0.109,0.283,-0.941,3.662,-8.911,-5.005
0.102,0.286,-0.945,3.052,-9.644,-4.456
0.104,0.289,-0.939,1.587,-9.033,-3.845
0.120,0.289,-0.947,1.343,-6.653,-3.845
0.122,0.289,-0.951,1.404,-4.456,-4.761
0.124,0.291,-0.948,1.099,-4.211,-5.066
0.126,0.286,-0.954,1.160,-5.066,-5.127
0.121,0.288,-0.948,0.427,-5.737,-5.554
0.109,0.290,-0.935,-0.549,-5.798,-6.226
0.100,0.287,-0.927,-0.610,-5.798,-6.042
0.094,0.300,-0.912,-0.488,-5.554,-5.371
0.093,0.300,-0.907,0.366,-6.409,-4.578
0.098,0.304,-0.898,1.526,-7.263,-3.723
0.098,0.299,-0.885,2.258,-7.507,-3.418
0.098,0.294,-0.888,3.235,-6.714,-3.052
0.104,0.290,-0.905,4.883,-4.578,-2.380
0.117,0.289,-0.942,7.019,-2.258,-1.648
0.121,0.286,-0.975,7.446,-0.916,-1.709
0.134,0.283,-0.992,6.714,-1.038,-2.075
0.143,0.277,-0.988,4.822,-2.747,-2.808
0.139,0.286,-0.959,2.014,-5.432,-3.906
0.125,0.294,-0.930,0.549,-7.324,-5.005
0.117,0.295,-0.914,1.038,-7.568,-5.432
0.108,0.293,-0.914,2.258,-6.348,-5.432
0.097,0.293,-0.924,2.991,-4.944,-4.456
0.106,0.295,-0.932,3.601,-3.906,-2.930
0.115,0.293,-0.948,4.761,-3.967,-2.502
0.113,0.289,-0.959,4.395,-4.211,-2.625
0.119,0.291,-0.963,3.357,-3.967,-2.747
0.117,0.297,-0.964,2.563,-3.601,-3.174
0.115,0.291,-0.962,1.892,-3.296,-3.601
0.114,0.300,-0.954,1.099,-3.357,-3.601
0.116,0.304,-0.943,0.793,-3.723,-3.845
0.111,0.306,-0.934,0.977,-4.456,-4.150
0.099,0.304,-0.925,0.916,-5.188,-3.906
0.094,0.301,-0.924,1.526,-6.042,-3.174
0.100,0.291,-0.936,2.747,-5.371,-2.502
0.116,0.291,-0.947,3.174,-3.235,-1.770
0.130,0.293,-0.949,3.296,-2.197,-1.648
0.136,0.290,-0.953,3.479,-3.540,-2.380
0.130,0.286,-0.967,3.540,-5.249,-3.357

-0.647,-0.186,2.329,56.335,-24.414,-32.715
-0.833,-0.288,2.707,101.257,-45.532,-25.574
-0.965,-0.158,3.095,160.889,-85.938,1.770
-1.073,-0.222,3.041,218.811,-87.097,28.442
-1.038,-0.315,2.482,284.363,-54.016,57.861
-0.972,-0.550,2.078,343.689,-16.357,95.825
-0.799,-0.604,1.510,378.418,36.621,131.470
-0.644,-0.653,0.901,421.204,69.336,172.241
-0.510,-0.599,0.336,467.346,94.727,206.604
-0.386,-0.479,-0.119,493.713,116.028,225.403
-0.157,-0.383,-0.534,500.793,129.517,231.445
0.022,-0.303,-0.811,485.779,148.071,226.257
0.236,-0.240,-1.066,455.078,156.738,213.989
0.497,-0.205,-1.245,413.757,149.597,201.599
0.605,-0.073,-1.282,368.164,112.976,185.791
0.548,-0.004,-1.265,334.473,36.926,167.542
0.419,0.029,-1.226,315.063,-46.326,153.503
0.283,-0.028,-1.236,299.377,-104.309,142.273
0.181,-0.005,-1.342,278.931,-121.704,136.169
0.303,0.012,-1.247,258.789,-102.478,138.245
0.376,-0.040,-1.280,261.230,-50.171,123.108
0.492,-0.083,-1.418,243.164,16.052,106.873
0.660,-0.098,-1.647,233.459,69.641,100.342
0.785,-0.072,-1.882,221.191,89.111,93.018
0.868,-0.045,-2.044,202.332,62.988,84.290
0.911,0.021,-2.180,174.072,16.724,74.097
0.838,0.139,-2.031,131.409,-23.682,55.176
0.695,0.163,-1.953,105.408,-41.931,35.217
0.588,0.216,-1.693,76.965,-34.119,20.569
0.500,0.293,-1.570,64.819,-22.644,13.916
0.433,0.298,-1.537,63.477,-14.160,9.216
0.401,0.419,-1.465,52.856,-12.390,6.226
0.348,0.462,-1.343,42.053,-17.212,4.150
0.251,0.515,-1.176,30.212,-25.635,-1.770
0.149,0.520,-1.015,22.400,-32.654,-5.615
0.093,0.495,-0.956,22.156,-31.982,-3.723
0.054,0.501,-0.868,20.447,-24.841,0.244
0.067,0.484,-0.827,24.719,-14.099,4.578
0.075,0.438,-0.889,35.645,-5.859,9.033
0.123,0.394,-0.980,42.908,-3.174,13.733
0.166,0.380,-1.024,44.617,-2.686,16.052
0.170,0.339,-1.095,44.739,-5.920,14.587
0.212,0.310,-1.182,42.664,-7.141,14.160
0.264,0.307,-1.252,35.828,-4.150,13.062
0.299,0.319,-1.220,24.048,-2.014,8.606
0.264,0.359,-1.063,10.315,-5.432,2.197
0.209,0.384,-0.880,1.221,-14.954,-3.113
0.118,0.413,-0.684,-1.038,-24.109,-4.333
0.052,0.426,-0.581,6.775,-29.907,-1.709
0.059,0.381,-0.621,23.254,-24.780,4.395
0.106,0.343,-0.750,36.011,-9.155,9.766
0.186,0.298,-0.933,45.593,6.287,14.343
0.281,0.268,-1.117,48.340,16.113,15.747
0.344,0.251,-1.241,42.603,16.296,13.000
0.366,0.267,-1.249,28.992,6.042,7.202
0.305,0.301,-1.101,10.437,-10.681,-0.549
0.191,0.325,-0.928,-3.662,-23.743,-6.897
0.135,0.321,-0.815,-4.272,-25.269,-6.348
0.146,0.326,-0.814,4.517,-15.686,-1.282
0.183,0.326,-0.915,15.381,-2.380,2.625
0.237,0.310,-1.012,22.522,5.310,4.944
0.280,0.326,-1.051,21.362,3.479,4.456
0.250,0.327,-1.003,13.855,-6.042,0.732
0.213,0.326,-0.926,5.859,-15.076,-2.258
0.198,0.332,-0.874,2.319,-19.165,-2.869
0.165,0.337,-0.850,2.319,-17.822,-3.662
0.143,0.321,-0.870,5.920,-10.742,-3.906
0.152,0.310,-0.923,10.315,-2.075,-2.075
0.184,0.300,-1.008,14.526,3.052,0.305
0.226,0.287,-1.098,16.357,3.540,1.526
0.264,0.277,-1.149,13.855,1.404,0.732
0.261,0.293,-1.111,6.287,-3.845,-2.441
0.223,0.308,-1.033,-1.160,-12.756,-6.348
0.181,0.296,-0.983,-5.249,-18.127,-8.057
0.169,0.316,-0.938,-8.728,-15.076,-7.690
0.152,0.324,-0.910,-8.911,-8.118,-7.446
0.131,0.314,-0.928,-6.348,-2.502,-6.897
0.159,0.321,-0.941,-4.456,0.854,-4.211
0.179,0.324,-0.934,-3.296,-0.183,-3.723
0.177,0.336,-0.898,-3.235,-4.150,-5.371
0.165,0.343,-0.871,-2.747,-8.362,-6.714
0.153,0.341,-0.870,-1.038,-9.705,-6.958
0.150,0.340,-0.866,0.183,-7.202,-6.226
0.135,0.324,-0.895,2.258,-3.662,-5.249
0.144,0.307,-0.937,4.150,-0.244,-2.869
0.161,0.308,-0.981,4.639,2.136,-1.282
0.176,0.298,-1.010,4.211,2.319,-1.038
0.196,0.295,-1.021,2.136,1.038,-1.526
0.214,0.297,-1.003,-1.038,-1.343,-2.747
0.212,0.322,-0.958,-5.249,-4.150,-4.944
0.192,0.329,-0.921,-6.775,-5.981,-6.958
0.163,0.329,-0.896,-6.897,-5.920,-7.629
0.146,0.329,-0.883,-6.287,-4.333,-6.958
0.151,0.338,-0.878,-4.639,-2.441,-5.066
0.157,0.339,-0.873,-2.563,-2.625,-4.028
0.150,0.339,-0.874,-0.977,-4.700,-3.723
0.152,0.331,-0.885,0.854,-5.981,-2.991
0.169,0.321,-0.918,1.953,-5.005,-2.502
0.178,0.327,-0.945,1.831,-3.174,-2.991
0.190,0.320,-0.963,1.770,-2.502,-3.723
0.176,0.322,-0.954,0.305,-3.906,-4.639
0.163,0.324,-0.941,-1.526,-5.981,-5.005
0.169,0.332,-0.930,-2.380,-6.653,-4.272
0.175,0.338,-0.912,-2.930,-7.324,-3.845
0.173,0.342,-0.898,-2.258,-7.385,-4.028
0.177,0.335,-0.906,-0.244,-6.653,-3.418
0.186,0.339,-0.911,0.671,-5.249,-2.808
0.188,0.340,-0.911,0.977,-4.639,-3.052
0.186,0.333,-0.917,1.709,-4.883,-3.784
0.172,0.328,-0.928,0.793,-6.348,-4.272
0.165,0.328,-0.915,-1.221,-7.202,-4.089
0.163,0.336,-0.888,-2.930,-7.019,-3.784
0.163,0.337,-0.867,-2.625,-6.104,-3.540
0.174,0.337,-0.863,-0.916,-4.822,-3.235
0.174,0.339,-0.876,1.282,-3.784,-3.357
0.170,0.334,-0.887,3.113,-3.601,-3.357
0.179,0.331,-0.912,5.005,-3.235,-2.991
0.195,0.320,-0.941,5.920,-2.625,-2.869
0.201,0.327,-0.925,3.662,-2.258,-3.235

-0.749,-0.106,2.157,129.883,-57.434,-1.587
-0.803,-0.212,2.287,168.884,-62.256,13.123
-0.815,-0.240,2.371,209.656,-61.462,33.691
-0.790,-0.313,2.247,253.113,-50.171,52.917
-0.722,-0.331,1.989,298.462,-36.560,70.496
-0.715,-0.401,1.669,344.971,-21.301,87.646
-0.713,-0.542,1.279,388.184,-6.836,106.384
-0.618,-0.621,0.830,416.016,3.296,123.657
-0.579,-0.614,0.500,437.439,5.310,141.907
-0.516,-0.650,0.151,452.454,11.658,151.428
-0.426,-0.637,-0.282,460.571,22.095,158.386
-0.193,-0.638,-0.776,455.139,40.527,160.645
-0.098,-0.556,-1.072,428.955,69.275,152.954
-0.080,-0.407,-1.150,391.296,84.839,142.700
-0.135,-0.273,-1.149,363.464,79.407,143.188
-0.069,-0.249,-1.276,352.844,76.965,156.677
0.220,-0.325,-1.452,346.558,101.135,181.519
0.645,-0.341,-2.072,363.647,146.973,209.167
0.990,-0.312,-2.171,323.914,172.363,204.041
1.204,-0.113,-2.216,272.766,124.573,184.937
1.158,-0.046,-2.307,243.164,43.274,151.978
1.148,-0.108,-2.515,217.224,-19.409,116.760
1.255,0.001,-2.768,187.683,-28.198,94.604
1.400,0.119,-2.812,151.245,-4.150,79.224
1.300,0.322,-2.423,110.474,11.780,53.101
1.105,0.550,-1.986,64.941,-11.902,25.085
0.811,0.589,-1.713,50.171,-46.692,2.991
0.473,0.630,-1.349,31.677,-62.195,-13.123
0.313,0.681,-1.174,26.611,-50.232,-13.855
0.198,0.685,-0.992,25.818,-23.193,-9.766
0.146,0.739,-0.841,25.635,-9.949,-5.127
0.146,0.720,-0.777,32.715,-13.550,0.427
0.062,0.676,-0.770,39.429,-23.865,1.465
0.007,0.615,-0.870,45.532,-26.367,4.272
0.056,0.535,-1.067,51.880,-13.123,10.925
0.143,0.494,-1.268,50.537,4.578,14.954
0.219,0.443,-1.404,42.969,12.146,14.343
0.276,0.452,-1.378,27.405,4.578,9.460
0.244,0.463,-1.184,10.071,-13.428,0.671
0.158,0.471,-0.978,-1.038,-30.334,-7.202
0.088,0.487,-0.831,-4.883,-35.034,-8.545
0.061,0.490,-0.760,-1.648,-24.780,-4.456
0.120,0.496,-0.775,5.066,-7.141,2.319
0.194,0.466,-0.856,12.329,4.883,7.812
0.265,0.454,-0.962,14.465,7.507,10.010
0.333,0.436,-1.017,12.329,4.150,7.812
0.351,0.437,-0.997,6.653,-2.075,2.319
0.285,0.431,-0.903,-0.366,-9.766,-4.944
0.238,0.415,-0.870,-3.723,-14.709,-7.629
0.241,0.438,-0.861,-5.615,-10.132,-6.653
0.246,0.448,-0.862,-5.859,-2.502,-7.019
0.255,0.457,-0.852,-4.395,0.305,-7.996
0.228,0.466,-0.802,-3.845,-3.296,-9.827
0.178,0.447,-0.764,-1.709,-10.437,-10.803
0.152,0.468,-0.777,-0.183,-13.916,-10.193
0.121,0.469,-0.781,1.221,-10.742,-10.071
0.122,0.480,-0.793,3.357,-5.554,-8.545
0.143,0.473,-0.804,6.531,-2.747,-6.165
0.130,0.472,-0.817,7.690,-4.639,-5.554
0.115,0.475,-0.830,7.446,-7.019,-4.761
0.121,0.475,-0.848,8.362,-6.348,-3.784
0.100,0.480,-0.842,9.033,-5.432,-2.808
0.078,0.435,-0.861,9.949,-5.554,-1.160
0.158,0.483,-0.932,8.118,-3.174,0.916
0.186,0.472,-0.947,7.385,-0.061,2.747
0.196,0.486,-0.938,4.395,1.526,1.404
0.217,0.470,-0.920,2.930,-0.916,0.549
0.226,0.463,-0.898,0.244,-2.991,-1.343
0.210,0.486,-0.849,-2.563,-2.502,-3.235
0.175,0.470,-0.807,-2.075,-1.343,-4.211
0.156,0.491,-0.800,-0.122,-1.404,-3.174
0.160,0.463,-0.822,4.517,-1.404,-0.427
0.178,0.472,-0.851,6.470,0.061,0.610
0.200,0.474,-0.876,8.118,-0.732,0.427
0.208,0.472,-0.901,8.423,-3.723,-1.160
0.180,0.475,-0.897,6.287,-7.263,-3.357
0.162,0.485,-0.891,3.418,-9.888,-3.662
0.158,0.479,-0.871,1.282,-9.766,-3.052
0.156,0.487,-0.856,-0.427,-7.263,-2.686
0.167,0.478,-0.855,0.244,-4.578,-1.709
0.178,0.474,-0.845,1.160,-4.150,-0.854
0.183,0.472,-0.844,2.502,-5.737,-0.488
0.204,0.463,-0.859,4.456,-5.859,-0.244
0.214,0.460,-0.859,5.249,-4.578,-0.977
0.202,0.453,-0.870,5.188,-4.272,-2.319
0.219,0.452,-0.887,4.150,-3.723,-2.197
0.208,0.469,-0.881,1.831,-3.479,-3.113
0.203,0.469,-0.876,0.793,-3.906,-4.456
0.195,0.474,-0.848,-0.122,-4.272,-5.371
0.173,0.484,-0.814,-0.366,-6.348,-6.348
0.156,0.484,-0.792,1.160,-8.789,-6.165
0.144,0.483,-0.801,3.906,-10.010,-5.249
0.141,0.480,-0.825,5.981,-9.277,-4.395
0.144,0.477,-0.855,7.141,-6.714,-3.296
0.154,0.471,-0.888,6.958,-3.723,-2.136
0.172,0.468,-0.920,6.226,-2.014,-1.465
0.184,0.461,-0.935,4.822,-1.831,-1.892
0.203,0.467,-0.927,2.075,-2.747,-2.258
0.201,0.476,-0.890,-0.916,-4.944,-3.418
0.186,0.481,-0.850,-2.441,-7.996,-4.639
0.175,0.484,-0.816,-2.014,-9.033,-5.066
0.151,0.489,-0.797,0.061,-7.996,-4.761
0.151,0.481,-0.828,4.211,-5.005,-2.930
0.186,0.473,-0.894,7.385,-0.916,-0.366
0.219,0.473,-0.949,7.751,1.343,0.244
0.241,0.474,-0.966,5.554,-0.427,-1.038
0.228,0.481,-0.941,1.404,-5.371,-3.845
0.210,0.486,-0.892,-2.502,-9.888,-6.775
0.185,0.498,-0.836,-4.883,-12.390,-8.301
0.151,0.498,-0.797,-4.395,-14.282,-8.972
0.124,0.494,-0.801,-1.404,-13.000,-7.385
0.126,0.482,-0.830,1.465,-8.911,-4.395
0.140,0.458,-0.846,3.418,-5.554,-2.136
0.157,0.459,-0.858,3.052,-4.822,-0.977
0.176,0.465,-0.862,2.319,-5.371,-0.793
0.184,0.461,-0.851,1.831,-5.798,-1.831
0.187,0.457,-0.836,0.732,-6.775,-3.357
0.182,0.452,-0.810,-0.366,-6.775,-4.761
0.167,0.449,-0.789,-0.122,-6.042,-5.371

-0.752,-0.111,2.056,121.948,-55.908,17.517
-0.799,-0.201,2.098,158.447,-53.223,29.663
-0.835,-0.257,2.106,194.885,-47.974,47.546
-0.825,-0.244,1.977,232.483,-34.729,71.045
-0.778,-0.331,1.801,274.597,-16.602,97.046
-0.693,-0.470,1.580,318.909,-0.732,120.178
-0.602,-0.529,1.345,353.210,8.057,138.672
-0.483,-0.554,1.092,379.639,8.240,148.376
-0.453,-0.554,0.849,406.006,9.521,151.367
-0.483,-0.509,0.615,434.875,14.343,153.992
-0.464,-0.495,0.284,463.501,23.437,160.034
-0.336,-0.565,-0.170,485.718,39.185,170.410
-0.263,-0.604,-0.622,488.159,52.429,183.777
-0.030,-0.570,-0.987,469.971,60.303,196.960
0.109,-0.482,-1.204,442.322,62.256,203.186
0.292,-0.438,-1.458,417.480,55.237,201.599
0.341,-0.354,-1.703,389.709,48.401,193.298
0.521,-0.391,-1.821,351.501,53.223,184.631
0.790,-0.306,-2.280,331.604,73.730,180.359
0.929,-0.292,-2.307,282.166,93.933,159.668
1.174,-0.162,-2.397,244.873,83.374,148.010
1.284,-0.027,-2.526,221.375,49.072,135.864
1.293,0.080,-2.579,196.472,4.639,110.474
1.272,0.141,-2.582,170.410,-18.127,84.412
1.088,0.248,-2.432,127.991,-23.071,57.983
0.940,0.395,-1.977,78.125,-31.006,36.072
0.698,0.514,-1.479,52.612,-36.316,17.151
0.516,0.614,-1.148,35.522,-47.913,8.301
0.418,0.637,-1.052,44.434,-49.866,7.507
0.334,0.662,-1.010,52.185,-33.997,6.653
0.308,0.617,-1.016,60.852,-19.043,8.423
0.297,0.594,-1.055,64.209,-8.301,7.141
0.243,0.571,-1.075,58.655,-10.132,3.052
0.202,0.509,-1.095,53.406,-18.250,1.648
0.151,0.500,-1.064,44.495,-21.057,0.000
0.091,0.479,-1.046,38.818,-20.447,-1.465
0.085,0.440,-1.065,38.940,-16.846,1.587
0.096,0.439,-1.050,36.316,-14.771,5.432
0.126,0.396,-1.108,36.865,-15.503,8.484
0.174,0.371,-1.161,35.950,-12.512,9.949
0.226,0.366,-1.184,30.334,-8.545,8.911
0.283,0.352,-1.135,22.949,-5.981,5.920
0.268,0.388,-1.003,10.437,-9.827,0.671
0.221,0.408,-0.875,2.808,-17.578,-3.601
0.184,0.405,-0.784,2.930,-20.020,-4.028
0.147,0.420,-0.705,4.700,-17.151,-1.892
0.149,0.402,-0.721,12.268,-11.658,1.953
0.217,0.379,-0.811,21.484,-5.066,6.104
0.237,0.377,-0.872,24.902,-2.808,6.470
0.253,0.359,-0.923,25.696,-6.287,5.066
0.276,0.357,-0.961,24.231,-9.338,3.662
0.261,0.360,-0.970,19.958,-11.047,0.854
0.245,0.354,-0.962,15.625,-11.597,-1.587
0.222,0.380,-0.928,11.719,-11.292,-2.808
0.204,0.395,-0.875,10.193,-11.719,-2.686
0.192,0.424,-0.811,9.766,-13.794,-1.953
0.169,0.426,-0.788,12.878,-16.663,-1.404
0.158,0.405,-0.828,18.188,-16.602,-0.061
0.171,0.398,-0.884,21.057,-11.353,1.770
0.197,0.384,-0.927,21.912,-4.700,2.136
0.188,0.397,-0.907,19.226,-3.296,0.671
0.154,0.390,-0.877,17.517,-8.362,-0.366
0.142,0.381,-0.842,18.188,-11.719,0.793
0.132,0.380,-0.836,19.653,-11.230,2.869
0.158,0.343,-0.905,24.109,-8.118,6.104
0.229,0.337,-1.012,27.161,-1.221,9.644
0.282,0.334,-1.071,25.330,3.662,9.949
0.325,0.330,-1.068,19.775,0.977,7.080
0.325,0.347,-0.952,10.986,-8.179,2.197
0.232,0.369,-0.785,2.869,-21.545,-4.272
0.154,0.361,-0.708,4.639,-27.344,-6.104
0.135,0.343,-0.754,13.794,-17.151,-2.930
0.170,0.333,-0.870,22.217,1.953,1.709
0.213,0.325,-1.000,27.344,12.817,4.883
0.257,0.314,-1.107,28.137,9.949,5.859
0.278,0.306,-1.122,22.339,-0.488,3.662
0.241,0.314,-1.046,12.024,-11.047,-1.404
0.197,0.314,-0.968,5.371,-15.625,-5.066
