aX,aY,aZ,gX,gY,gZ
-0.266,-0.017,0.981,-0.488,-0.061,4.211

1.154,2.273,1.069,-53.894,59.998,-41.260
1.744,2.973,1.332,-96.985,120.850,-49.927
2.378,3.544,1.629,-115.479,167.358,-40.039
2.988,3.472,1.630,-57.922,161.255,-33.447
3.301,3.078,0.904,33.508,112.244,-24.414
3.199,2.357,0.430,78.308,-15.198,-41.321
3.075,1.441,-0.112,37.842,-115.601,-84.534
2.753,0.540,-0.550,-48.645,-131.531,-160.828
1.449,-0.634,-1.132,-140.015,-68.848,-247.437
-0.856,-2.498,-0.888,-227.600,24.353,-294.434
-3.442,-3.291,-0.008,-274.231,99.487,-289.185
-4.000,-3.656,0.663,-273.315,58.167,-234.558
-4.000,-4.000,1.634,-226.257,-47.852,-180.298
-4.000,-3.486,2.454,-183.472,-76.416,-143.738
-3.972,-3.028,3.401,-148.499,-51.819,-76.050
-2.723,-2.239,2.964,-54.443,-2.014,8.789
-1.088,-1.408,1.891,31.982,54.382,60.059
0.499,-0.610,0.558,69.458,87.280,74.768
1.259,-0.272,-0.351,82.336,97.107,73.547
1.525,0.079,-0.814,71.350,92.712,68.909
1.243,0.160,-0.495,33.936,16.113,8.728
0.585,0.207,0.008,-3.784,-33.569,-33.630
0.089,-0.001,0.493,-20.874,-39.795,-40.100
-0.210,-0.237,0.877,-23.437,-19.104,-35.645
-0.441,-0.353,1.128,-18.982,-3.967,-33.203
-0.600,-0.394,1.201,-4.700,-7.141,-31.860
-0.717,-0.359,1.179,10.071,-14.954,-31.555
-0.689,-0.262,1.104,17.578,-14.893,-28.320
-0.555,-0.183,0.980,23.743,-5.676,-20.020
-0.477,-0.143,0.864,23.010,0.183,-12.817
-0.392,-0.088,0.800,17.639,-5.249,-10.864
-0.378,-0.043,0.766,11.597,-10.803,-11.475
-0.358,-0.015,0.787,6.653,-9.827,-11.536
-0.291,0.024,0.825,2.747,-5.493,-10.925
-0.293,0.027,0.869,0.977,-1.953,-10.559
-0.366,0.014,0.910,0.183,-2.869,-11.719
-0.510,-0.007,0.957,-2.441,-5.615,-15.137
-0.618,0.011,1.021,-6.226,-9.033,-17.944
-0.590,0.047,1.052,-8.301,-9.155,-15.564
-0.524,0.034,1.065,-8.850,-5.676,-11.108
-0.455,0.018,1.117,-9.216,-7.629,-8.606
-0.343,0.033,1.198,-7.751,-15.503,-6.714
-0.304,0.016,1.257,-1.953,-19.104,-5.615
-0.301,-0.006,1.280,4.822,-17.151,-5.981
-0.314,-0.015,1.216,11.658,-12.817,-6.042
-0.365,-0.050,1.096,16.663,-7.080,-6.531
-0.445,-0.046,0.984,16.785,-3.418,-8.301
-0.527,-0.045,0.922,14.526,-5.127,-8.057
-0.511,-0.045,0.879,11.169,-7.202,-4.822
-0.430,-0.013,0.810,7.263,-3.906,-1.709
-0.373,-0.021,0.775,4.028,-2.319,-0.183
-0.292,0.009,0.733,0.671,-6.042,0.488
-0.269,-0.003,0.746,-3.174,-8.972,-0.061
-0.282,-0.011,0.786,-5.554,-11.108,-1.526
-0.292,-0.027,0.851,-7.996,-12.634,-2.197
-0.309,-0.056,0.927,-8.728,-13.672,-2.991
-0.339,-0.062,0.989,-7.874,-12.695,-4.333
-0.346,-0.045,1.016,-5.493,-9.583,-4.944
-0.357,-0.039,1.013,-1.343,-5.615,-4.272
-0.379,-0.011,0.998,2.319,-2.747,-3.906
-0.368,-0.004,0.974,5.615,-2.136,-2.197
-0.325,-0.012,0.945,6.775,-1.160,-0.061
-0.304,-0.016,0.917,5.005,0.977,0.122
-0.298,-0.009,0.901,2.258,0.549,-0.732
-0.321,-0.005,0.905,0.183,-0.977,-2.136
-0.359,0.000,0.911,-1.648,-0.671,-2.563
-0.364,0.002,0.922,-2.258,-1.038,-1.587
-0.360,0.002,0.929,-1.587,-3.113,-0.854
-0.382,-0.020,0.942,-1.160,-7.263,-0.122
-0.391,-0.048,0.984,-1.160,-11.475,0.854
-0.366,-0.034,1.009,-1.526,-10.376,0.000
-0.327,-0.020,0.994,-1.038,-4.761,-0.793
-0.286,-0.007,0.937,1.831,-0.793,-0.610
-0.256,-0.005,0.923,2.502,0.305,-1.404
-0.312,-0.007,0.923,0.061,2.380,-2.563
-0.353,-0.030,0.930,2.075,1.221,-2.869
-0.403,-0.037,0.951,1.343,-2.136,-2.686
-0.433,-0.047,0.951,1.953,-5.920,-2.319
-0.391,-0.032,0.973,1.770,-7.507,-0.732
-0.324,-0.017,0.954,2.014,-5.737,-0.122
